Layer,Context_Level,Most_Important_Test_Feature,Prompt_1_Most_Important_Test_Feature,Prompt_2_Most_Important_Test_Feature,Prompt_3_Most_Important_Test_Feature,Prompt_4_Most_Important_Test_Feature,Prompt_5_Most_Important_Test_Feature,Prompt_6_Most_Important_Test_Feature,Prompt_7_Most_Important_Test_Feature,Prompt_8_Most_Important_Test_Feature,Prompt_9_Most_Important_Test_Feature,Prompt_10_Most_Important_Test_Feature
0,25,265,229,211,407,338,405,36,138,94,248,265
0,50,77,300,77,209,412,120,163,374,240,398,450
0,75,465,272,123,273,39,470,186,23,482,465,448
0,100,506,31,506,213,365,455,353,326,337,334,152
0,125,17,329,17,423,3,289,446,503,346,22,189
0,150,265,428,55,86,135,300,279,217,405,116,274
0,175,216,402,184,346,387,122,260,73,176,95,216
0,200,179,203,23,179,371,435,26,87,482,387,97
0,225,408,17,222,287,103,350,241,408,145,191,60
0,250,475,485,101,189,239,458,122,475,10,21,113
0,275,414,414,111,385,346,215,129,414,244,277,57
0,300,263,44,109,263,447,167,67,116,192,130,160
0,325,356,197,250,86,328,432,320,356,291,432,98
0,350,405,211,40,444,120,405,342,96,83,351,461
0,375,76,76,79,344,503,393,243,219,161,35,346
0,400,439,439,186,102,120,502,56,132,69,384,507
1,25,413,397,492,103,242,390,52,413,496,273,267
1,50,10,110,208,318,204,151,48,491,310,409,443
1,75,188,441,194,325,290,353,487,433,1,188,443
1,100,1,253,429,1,102,244,460,54,243,336,443
1,125,1,316,42,103,127,73,169,63,392,285,356
1,150,441,10,275,369,367,462,494,387,252,432,310
1,175,268,316,430,128,476,268,209,157,144,432,116
1,200,319,88,17,336,182,98,440,124,319,46,457
1,225,1,426,311,467,209,252,210,1,1,239,319
1,250,467,88,420,467,37,443,463,186,311,342,189
1,275,353,88,326,110,60,100,353,84,463,208,505
1,300,369,88,180,224,369,374,279,22,185,75,99
1,325,495,39,268,86,50,263,404,495,397,495,470
1,350,339,109,435,446,347,214,380,471,269,426,74
1,375,466,170,466,176,110,43,103,347,326,270,119
1,400,356,171,373,334,459,166,14,225,496,228,234
2,25,136,334,396,385,291,449,10,136,370,398,60
2,50,449,340,371,332,102,449,54,136,253,467,93
2,75,243,281,310,43,17,185,496,60,253,476,491
2,100,138,495,408,65,14,51,337,54,228,467,138
2,125,243,341,243,476,112,449,54,60,228,476,222
2,150,17,334,42,0,17,75,54,263,253,248,23
2,175,194,421,426,260,230,4,194,213,293,346,23
2,200,385,10,60,472,501,101,54,341,349,433,385
2,225,426,426,441,463,323,261,496,268,382,211,374
2,250,276,88,484,404,431,292,185,373,184,199,498
2,275,474,162,19,187,100,101,218,510,321,259,301
2,300,483,340,396,483,482,175,78,485,102,444,34
2,325,236,446,96,78,289,330,263,211,468,496,385
2,350,200,347,339,337,508,296,90,389,422,426,35
2,375,440,166,272,332,85,248,440,39,135,462,119
2,400,361,361,334,203,166,174,389,225,43,476,131
3,25,108,295,197,274,374,492,214,272,327,211,260
3,50,108,466,20,381,76,449,307,466,253,375,93
3,75,449,441,375,65,374,185,250,263,253,160,244
3,100,466,466,168,65,385,449,457,68,327,232,260
3,125,375,441,397,375,374,148,134,235,357,63,11
3,150,324,441,305,324,17,449,235,235,327,232,361
3,175,466,441,459,324,189,68,95,235,327,212,344
3,200,344,11,396,375,391,492,54,263,502,217,412
3,225,263,495,424,476,147,261,42,263,303,430,249
3,250,263,349,397,476,280,492,263,116,184,48,260
3,275,457,130,359,457,230,6,99,235,321,259,247
3,300,89,343,220,82,43,376,361,61,107,89,220
3,325,2,397,416,486,478,249,304,333,2,259,166
3,350,215,394,54,322,311,129,419,276,215,239,91
3,375,320,264,320,233,85,289,357,472,174,45,179
3,400,122,324,471,272,22,310,162,184,244,344,131
4,25,384,123,241,495,324,357,384,68,6,433,342
4,50,298,466,20,495,76,298,384,337,298,433,8
4,75,6,161,289,369,142,473,138,335,6,160,281
4,100,495,466,233,495,443,475,473,74,410,433,282
4,125,495,466,8,22,304,492,92,235,357,433,161
4,150,6,441,452,369,324,475,6,335,354,30,84
4,175,6,466,327,446,438,242,298,507,6,470,108
4,200,6,441,446,444,463,492,337,289,357,433,316
4,225,6,460,168,22,39,0,242,290,354,433,300
4,250,6,441,397,444,438,344,228,337,354,318,297
4,275,108,176,276,369,90,101,277,235,327,350,263
4,300,6,343,187,22,129,242,66,490,6,89,347
4,325,344,74,122,369,125,0,143,217,49,288,166
4,350,347,427,347,145,314,241,79,93,215,63,234
4,375,259,355,197,276,466,197,55,128,341,275,179
4,400,477,19,36,266,379,146,460,169,414,477,233
5,25,298,197,241,108,410,166,250,298,266,160,8
5,50,298,466,20,108,141,298,384,298,298,363,8
5,75,354,30,204,108,336,335,4,244,331,160,297
5,100,298,318,452,495,468,485,250,337,354,363,499
5,125,298,30,232,316,304,449,182,157,379,275,133
5,150,298,353,105,409,243,160,6,298,181,232,394
5,175,298,466,327,457,166,138,336,337,379,433,28
5,200,6,11,298,152,33,492,4,298,6,42,382
5,225,6,176,251,24,33,160,163,105,382,433,28
5,250,6,3,34,334,20,194,291,337,6,364,22
5,275,382,347,386,49,102,58,143,160,382,138,28
5,300,219,167,298,6,228,429,288,157,103,89,282
5,325,138,80,482,248,262,340,188,230,138,288,208
5,350,6,382,6,396,314,474,316,509,269,377,329
5,375,161,442,161,396,389,372,485,472,24,251,452
5,400,391,187,373,391,442,424,100,323,162,364,371
6,25,357,410,241,495,492,230,74,74,357,433,292
6,50,298,27,331,108,243,298,384,292,181,228,8
6,75,346,103,241,108,230,335,346,407,181,160,48
6,100,298,467,63,495,392,210,250,337,346,336,48
6,125,335,467,270,452,433,449,298,335,357,160,173
6,150,298,356,452,452,492,210,6,335,181,336,3
6,175,298,342,452,46,230,210,336,99,357,244,389
6,200,357,103,357,121,230,217,166,298,357,239,389
6,225,407,189,251,6,33,281,494,407,68,433,28
6,250,335,342,335,337,230,230,166,298,82,160,389
6,275,449,38,241,250,102,217,458,449,394,336,173
6,300,490,347,140,328,371,357,205,490,410,376,347
6,325,217,74,37,452,108,335,369,217,69,336,344
6,350,129,74,30,59,432,98,376,92,89,409,129
6,375,389,161,160,385,389,324,263,173,341,162,263
6,400,300,342,391,109,474,124,1,66,254,477,160
7,25,357,410,241,495,492,313,305,310,357,433,300
7,50,108,466,331,108,306,298,384,292,298,108,282
7,75,108,493,331,285,230,335,74,407,262,108,282
7,100,108,493,63,285,492,298,337,183,298,108,376
7,125,108,467,335,285,492,407,78,335,69,108,108
7,150,407,342,63,457,492,407,6,335,354,287,344
7,175,305,293,452,285,230,217,74,335,407,239,108
7,200,335,103,331,457,492,217,2,335,181,108,108
7,225,407,342,241,121,492,217,166,407,483,160,282
7,250,335,338,335,109,465,335,166,331,80,160,467
7,275,335,356,241,457,102,217,287,449,335,108,332
7,300,347,347,20,328,285,407,305,335,149,385,355
7,325,239,231,241,369,245,43,110,217,69,433,344
7,350,239,484,249,433,432,303,423,466,366,239,467
7,375,324,161,53,452,410,324,284,499,45,112,263
7,400,394,66,228,348,261,124,239,337,394,314,188
8,25,74,74,109,495,137,98,305,408,357,433,300
8,50,298,365,23,495,306,217,298,139,454,342,209
8,75,108,342,103,243,390,98,464,183,181,342,160
8,100,108,150,240,243,326,414,12,292,357,433,282
8,125,217,328,270,239,492,217,298,183,181,433,263
8,150,407,342,109,157,492,57,298,335,181,433,282
8,175,217,467,103,239,418,217,298,501,317,342,210
8,200,217,316,416,457,326,217,298,217,444,342,188
8,225,217,342,357,446,492,217,2,217,280,433,91
8,250,74,342,240,239,6,414,496,74,483,212,17
8,275,217,467,217,239,189,414,496,217,117,433,17
8,300,357,316,357,506,194,414,307,53,280,162,17
8,325,217,67,501,409,194,43,190,217,295,22,17
8,350,239,427,331,366,392,375,215,72,436,63,467
8,375,246,249,104,246,366,324,307,305,354,23,300
8,400,440,249,502,446,474,470,54,440,77,209,400
